Inbound Train No	Day No	Arriving time at receiving area	Receiving track No	Number of blocks    	Number of cars	Destination of blocks (number of cars)	Starting time of humping job	Ending time of humping job
i258	10	Day10,1:34	R1	22	50	AZ(2);AV(6);AH(3);AY(5);AE(2);AW(3);AB(3);AN(2);AK(3);AS(2);AC(1);AF(4);AM(1);AD(2);BB(1);AR(2);AX(1);BG(3);AJ(1);AT(1);AA(1);BE(1);	Day10,3:56	Day10,4:18
i247	9	Day9,18:29	R6	23	50	AV(4);AX(1);AK(4);BB(2);AP(4);AN(2);AR(2);AH(9);AL(2);AF(3);BG(2);AW(2);AB(1);AD(2);AC(1);AJ(2);AI(1);AQ(1);AS(1);AY(1);AE(1);BD(1);AG(1);	Day10,4:28	Day10,4:51
i256	10	Day10,1:4	R2	21	40	AH(4);AP(1);BA(1);AS(1);AV(4);AD(3);AK(6);BF(1);AY(2);AW(2);AC(3);AT(2);AX(2);AM(1);AB(1);AE(1);AN(1);AR(1);BG(1);BC(1);BB(1);	Day10,5:1	Day10,5:19
i259	10	Day10,5:22	R5	27	100	AP(6);BG(5);AT(4);AR(4);BB(4);AK(7);AA(2);AB(5);AZ(4);AV(9);AQ(2);AY(1);AH(11);AU(1);AN(8);AC(2);BD(3);AF(2);AW(3);AJ(2);BE(4);AE(3);AX(1);AS(1);AO(1);AD(3);BF(2);	Day10,6:7	Day10,6:53
i260	10	Day10,5:28	R1	29	70	BF(4);AS(1);AH(5);AJ(3);AM(3);AW(3);AD(5);AY(3);AX(7);AA(2);AN(3);AP(4);AQ(3);AG(2);AE(2);AR(2);BC(2);AV(2);AK(2);BD(1);AB(1);AZ(1);AF(1);AU(2);AT(1);BE(1);BG(1);BB(2);AL(1);	Day10,7:3	Day10,7:34
i261	10	Day10,5:33	R2	22	50	BG(2);AK(6);AC(4);AX(5);AW(1);AP(3);AA(2);AY(2);AT(1);AU(1);AN(3);BE(1);AJ(3);AR(3);BB(1);AQ(1);AD(3);AG(1);AV(2);AH(2);AE(2);AM(1);	Day10,7:44	Day10,8:7
i262	10	Day10,8:48	R3	17	40	AY(4);BE(3);AR(3);AW(7);AH(1);AJ(2);AP(4);AU(3);AS(2);AG(1);AC(1);AV(4);AT(1);AK(1);AE(1);BB(1);AL(1);	Day10,9:33	Day10,9:52
i263	10	Day10,9:22	R1	28	90	AY(4);BA(1);AV(5);AU(4);AF(4);AM(2);BE(4);AK(2);AN(3);BC(1);AX(6);AW(3);AA(1);AO(1);AE(7);AH(10);AP(6);BF(2);AJ(3);BG(3);AR(5);AT(3);BB(2);AC(3);AL(1);AB(2);AG(1);AQ(1);	Day10,10:7	Day10,10:48
i264	10	Day10,11:39	R2	22	50	AP(3);AA(2);AX(4);AS(2);BE(3);AB(2);AW(5);AH(3);AT(1);AL(2);AF(4);BC(2);BF(3);AE(2);AZ(1);AR(3);AK(2);AD(1);AY(2);AU(1);AJ(1);AV(1);	Day10,12:24	Day10,12:47
i266	10	Day10,11:55	R1	24	130	AD(11);BG(4);AV(14);AK(7);AH(13);AR(9);AP(14);AW(8);AY(10);AE(2);AX(3);BF(5);AF(3);BE(4);AA(2);AN(3);AB(4);BC(2);AM(1);AT(2);AC(3);AJ(4);BA(1);AZ(1);	Day10,12:57	Day10,13:56
i267	10	Day10,12:22	R3	27	100	AW(7);AF(9);AC(3);AX(7);AY(2);AM(1);AZ(1);AT(2);AL(3);AP(9);BC(3);AJ(4);AG(2);AK(7);AH(10);AV(6);AB(3);AN(4);AU(3);AA(2);BD(4);AR(1);AD(2);BE(2);AI(1);AS(1);AQ(1);	Day10,14:6	Day10,14:52
i265	10	Day10,11:40	R4	28	80	AN(3);AM(2);AK(9);AR(4);BG(4);AE(2);AW(9);AV(3);AB(3);AH(5);AF(4);AJ(1);AA(3);AD(7);AP(1);AC(2);BF(2);AL(1);AZ(1);BE(1);AX(4);AU(1);BD(1);AY(1);AI(1);AS(2);BB(2);AT(1);	Day10,15:2	Day10,15:38
i272	10	Day10,14:49	R3	26	80	AB(3);AW(10);AD(2);AC(2);AJ(6);AH(6);AK(5);AR(2);AV(5);AU(1);AN(5);AX(4);AQ(2);AA(3);AY(4);AM(1);BG(2);AG(2);BC(1);AZ(1);AP(2);AF(2);BF(2);AE(3);BE(2);AS(2);	Day10,15:48	Day10,16:24
i269	10	Day10,13:46	R1	25	60	AR(5);AQ(2);AD(5);BC(2);AW(3);AH(6);AA(2);AL(1);AC(1);AP(6);AX(3);AF(2);AV(4);AG(1);AK(3);AE(2);AM(1);BE(1);AS(1);BB(2);BF(3);BD(1);AN(1);AB(1);AY(1);	Day10,16:34	Day10,17:2
i268	10	Day10,13:33	R2	26	60	BF(3);AS(2);BG(1);AH(4);AN(2);AM(2);AW(5);AJ(3);AV(6);AY(5);BC(2);AB(2);AF(6);AR(1);AX(2);AD(1);BB(3);AE(1);AK(2);AC(1);AP(1);AU(1);AT(1);AQ(1);BE(1);AO(1);	Day10,17:12	Day10,17:39
i270	10	Day10,14:4	R5	24	60	AF(4);AC(2);AH(6);AD(3);AN(2);BE(2);AW(3);BB(4);AM(1);AV(4);AK(2);AJ(1);AE(2);AT(1);BF(4);AX(4);AS(3);AP(3);AR(1);AY(2);AA(2);BD(1);AU(2);BC(1);	Day10,17:49	Day10,18:16
i271	10	Day10,14:7	R6	21	40	AH(5);AN(1);AF(2);BC(1);AQ(3);AX(3);AJ(1);AW(4);AR(2);AD(2);AA(4);BE(1);BD(2);AK(2);AE(1);AL(1);AY(1);BB(1);AV(1);AU(1);AT(1);	Day10,18:26	Day10,18:44
i273	10	Day10,16:41	R7	22	30	AR(3);AY(1);BD(1);AD(1);AL(1);AQ(2);AV(4);AB(2);AG(1);AH(2);BB(1);AF(1);AM(1);AT(1);AS(1);AZ(1);AN(1);AK(1);AX(1);BG(1);AP(1);AI(1);	Day10,18:54	Day10,19:8
i274	10	Day10,18:21	R1	28	70	AX(5);AF(3);AV(3);AJ(4);AP(6);AY(3);BB(3);AU(2);AG(3);AN(3);BF(2);AL(1);AW(3);BE(3);AR(3);AS(1);AC(2);AD(3);BG(2);AT(1);AB(1);AH(4);BC(1);AK(2);AI(1);AQ(2);AE(1);AA(2);	Day10,19:18	Day10,19:50
i275	10	Day10,21:32	R2	29	120	AK(5);AF(7);AW(7);BA(1);BD(2);AA(2);AH(17);AR(4);BG(4);AZ(2);AX(5);AP(11);BB(3);AE(8);AT(2);AY(8);AQ(3);BE(3);AN(5);BF(2);AC(3);AB(2);AV(4);AS(1);AM(1);AU(2);AJ(3);AD(1);AG(2);	Day10,22:17	Day10,23:11
i276	10	Day10,22:12	R1	21	50	AP(2);AV(4);AK(4);AF(4);AE(4);AA(2);AJ(6);BB(1);BF(1);AC(2);AN(3);AQ(2);AG(1);AX(2);AW(2);BG(2);BE(2);BA(1);AR(1);AH(3);AS(1);	Day10,23:21	Day10,23:44
i277	11	Day11,1:37	R2	28	80	AU(2);AY(2);BB(4);AC(1);AW(8);AG(1);AT(1);AM(3);AK(5);AX(2);AJ(5);AV(8);AN(2);AH(6);AD(2);BF(1);AA(1);AL(2);BE(2);AP(6);AS(4);AQ(2);BG(4);AE(1);AB(2);AR(1);AF(1);AO(1);	Day11,2:22	Day11,2:58
i278	11	Day11,3:27	R1	19	40	AJ(1);AA(3);BF(1);AV(4);AC(1);AL(1);AR(1);BB(3);AN(4);AE(2);AW(2);AH(5);AP(1);AY(2);AQ(2);AK(3);AF(1);AD(2);BC(1);	Day11,4:12	Day11,4:30
i279	11	Day11,3:38	R2	22	40	AQ(2);AZ(3);AD(3);AH(4);AI(2);AJ(3);BG(2);AF(2);AX(3);AE(3);AC(2);AY(1);BF(1);BD(1);BB(1);AR(1);BE(1);AA(1);AW(1);AM(1);AN(1);AU(1);	Day11,4:40	Day11,4:58
i280	11	Day11,6:19	R1	29	100	AH(7);AY(4);AB(4);AK(6);AV(8);AF(8);AU(1);AC(3);AP(8);AW(8);AE(5);AD(2);AZ(1);BF(3);AJ(6);AX(3);AM(1);BE(3);BB(2);AG(1);AL(1);AO(2);BA(2);BC(1);AQ(3);BG(1);AR(3);AN(2);AS(1);	Day11,7:4	Day11,7:50
i282	11	Day11,8:11	R1	27	100	AH(15);AW(7);AF(5);AP(8);AC(5);BC(4);AJ(2);AR(3);AX(7);AB(1);AV(2);AS(2);AA(1);AY(3);AE(3);BG(6);AZ(1);AK(9);AG(1);BB(4);AN(2);BF(1);AL(1);AD(4);AU(1);AQ(1);BE(1);	Day11,8:56	Day11,9:42
i284	11	Day11,8:45	R2	29	100	AY(5);AP(7);AT(1);AF(6);AS(2);AW(2);AN(3);BG(5);BC(4);BA(1);AH(8);AB(3);AU(3);AJ(4);AG(2);BB(3);BF(2);BD(2);AX(2);AV(9);AQ(4);AD(5);AA(2);BE(2);AR(6);AZ(1);AE(2);AK(3);AL(1);	Day11,9:52	Day11,10:37
i283	11	Day11,8:29	R3	25	80	AQ(3);AY(6);AR(4);BC(4);AG(2);AJ(4);BG(4);AX(4);AP(3);BA(2);AB(3);AK(5);BE(1);AF(3);AA(4);AD(3);AH(4);AM(2);AZ(1);AW(8);BB(1);AT(2);AV(2);AN(4);AC(1);	Day11,10:47	Day11,11:24
i285	11	Day11,9:53	R1	26	70	AE(2);AB(3);AU(2);BB(4);AK(5);AC(4);AD(2);AY(4);AF(2);BA(2);AH(8);AW(3);AV(5);BF(3);AP(2);BG(2);AM(2);AN(3);AX(2);BD(1);AO(1);BE(1);AJ(3);AQ(1);AL(1);AS(2);	Day11,11:34	Day11,12:5
i286	11	Day11,10:8	R2	25	50	AE(1);BG(4);BF(1);AW(3);AA(2);AY(4);AD(4);AX(2);BE(1);AB(1);AZ(1);AR(2);BC(2);AU(1);AH(6);AF(2);AM(1);AL(1);AG(1);AP(4);AJ(1);AS(1);AV(2);AQ(1);AK(1);	Day11,12:15	Day11,12:38
i287	11	Day11,11:37	R5	24	60	AX(5);AK(4);AB(2);BG(5);AW(4);AQ(3);AH(4);AZ(1);AR(4);AJ(3);AF(4);AV(2);AO(1);AG(1);AU(1);AE(2);AI(2);AD(1);AL(2);BF(2);AY(2);AN(3);AS(1);AT(1);	Day11,12:48	Day11,13:15
i288	11	Day11,12:17	R1	23	70	AN(6);AX(6);AB(4);AK(3);AP(3);AW(4);BC(1);AU(3);AY(4);BF(1);AD(7);AJ(2);AH(5);BD(1);BA(1);AZ(1);AV(8);AA(1);AF(2);BG(3);AR(2);AL(1);AQ(1);	Day11,13:25	Day11,13:57
i281	11	Day11,7:29	R4	21	50	AS(3);AW(6);AE(2);AR(1);AD(3);BG(1);BB(2);AH(3);AJ(3);AN(1);AV(6);AP(3);AM(1);AC(1);AF(1);AK(3);BC(1);AY(5);AX(2);AA(1);AU(1);	Day11,14:7	Day11,14:30
i289	11	Day11,15:12	R2	24	60	AN(2);AV(3);AW(7);AS(2);AC(2);BG(2);AD(6);AH(5);AK(4);AL(1);AA(2);AR(2);BF(1);AF(3);AP(3);AX(1);AJ(3);AO(1);AT(2);AB(2);AY(2);AQ(1);AU(2);AZ(1);	Day11,15:57	Day11,16:24
i292	11	Day11,16:4	R1	29	100	AC(5);AD(4);AE(5);AU(3);AH(8);BC(3);BG(3);AI(2);AV(10);BF(2);AK(6);AP(3);AW(12);BB(4);AB(1);BE(2);BA(2);AN(4);AS(1);AG(2);AR(3);AY(2);AA(2);AJ(3);AQ(2);AX(2);AF(1);AO(1);AL(2);	Day11,16:49	Day11,17:34
i290	11	Day11,15:29	R3	26	70	AN(4);BE(3);AC(2);AB(3);AS(4);AV(4);AW(5);AJ(5);AL(1);AY(3);AP(6);AD(2);AX(6);AM(1);AR(2);BG(2);BD(2);BC(1);AF(3);AO(3);AE(3);AK(1);AZ(1);AH(1);AA(1);AT(1);	Day11,17:44	Day11,18:16
i293	11	Day11,17:2	R2	29	90	AN(3);AW(6);AY(2);AE(5);BB(7);AM(2);AV(9);AC(3);AP(5);AF(4);AK(6);AJ(3);AL(3);AR(2);AS(1);AD(2);AH(7);BE(2);AO(1);BG(2);AZ(2);AI(3);AQ(1);AX(2);BF(2);AG(2);AU(1);AB(1);BD(1);	Day11,18:26	Day11,19:7
i295	11	Day11,18:0	R3	23	50	AD(1);AW(2);BE(3);AZ(1);AS(4);AK(8);BC(2);AR(1);AP(3);BD(1);AE(3);AF(2);AY(2);AV(3);AJ(1);AN(3);AH(3);AA(1);BG(2);AX(1);AL(1);BF(1);BB(1);	Day11,19:17	Day11,19:40
i296	11	Day11,18:57	R5	29	100	AR(3);AW(9);BE(4);AY(6);AD(5);AL(2);AX(6);BG(3);BF(2);AU(6);BB(3);AO(1);AG(2);AB(6);AS(3);AM(1);AQ(1);AN(1);BC(2);AP(2);AA(3);AV(5);AH(9);AK(5);AC(1);AF(3);AJ(4);AZ(1);BA(1);	Day11,19:50	Day11,20:35
i291	11	Day11,16:3	R4	25	50	AN(3);BC(3);BG(2);BB(2);BF(3);AJ(4);AT(1);AG(2);AA(2);AP(2);AF(4);AY(2);AH(2);AD(2);BD(2);AC(1);AU(2);AS(1);AW(3);AK(1);AB(1);AM(1);AV(2);BE(1);AX(1);	Day11,20:45	Day11,21:8
i294	11	Day11,17:47	R1	21	40	AO(1);AP(2);AF(1);AW(5);AY(2);AX(4);AG(1);BG(2);AT(1);AH(5);AJ(2);BE(1);AR(1);AQ(2);AK(2);BB(2);AD(2);AI(1);AE(1);AM(1);BF(1);	Day11,21:18	Day11,21:36
i297	11	Day11,21:16	R2	26	100	AU(2);AY(6);AN(4);AI(2);AC(2);AW(7);AH(9);AB(6);AP(7);AK(8);AT(3);BE(2);BF(3);AD(4);BB(3);AF(2);AX(3);AM(3);AV(5);AR(5);BC(3);AE(1);BG(5);AJ(3);AO(1);AG(1);	Day11,22:1	Day11,22:47
i298	11	Day11,21:57	R1	25	70	BG(3);AY(4);AG(1);AK(4);AD(1);AB(4);AF(5);BF(3);AW(4);AP(4);AH(5);BD(3);AN(5);AC(4);AE(2);AU(1);AX(3);AV(4);BE(2);BA(1);BB(2);AS(1);AA(2);AO(1);AI(1);	Day11,22:57	Day11,23:29
i299	11	Day11,22:21	R2	26	50	BG(4);AX(2);AH(4);AP(4);AV(2);AA(1);BF(3);AS(1);AR(2);BB(1);AF(1);AK(4);AC(2);AW(2);AN(2);BE(1);BC(1);AE(1);BD(1);AJ(2);AB(3);AO(1);AD(2);BA(1);AQ(1);AM(1);	Day11,23:39	Day12,0:1
i300	11	Day11,23:1	R3	24	80	AP(5);AX(3);AD(8);AV(4);AB(3);BC(2);AA(1);AY(6);AJ(4);AE(4);BF(4);AF(4);BB(3);AW(6);BE(2);BG(4);AR(2);AH(3);AC(1);AQ(2);AN(3);AL(2);AT(1);AK(3);	Day12,0:11	Day12,0:48
i302	12	Day12,1:30	R2	25	100	AC(3);AU(3);AT(1);AN(4);AP(11);AJ(6);AW(9);AR(4);AF(5);BB(2);BE(2);AX(5);AB(4);AH(14);BG(2);AK(9);AS(2);AY(6);AA(1);AV(1);AZ(1);AI(1);BC(2);BA(1);AL(1);	Day12,2:15	Day12,3:0
i301	12	Day12,0:24	R1	26	60	BF(2);AU(1);AM(1);AJ(3);AW(3);AP(5);BB(2);AH(3);AC(3);AR(3);AN(3);AA(1);AO(1);BG(1);BE(3);AK(5);AB(6);BC(1);AE(2);BD(1);AV(3);AY(2);AQ(1);AX(1);AF(1);AZ(2);	Day12,3:10	Day12,3:37
i305	12	Day12,5:40	R3	26	90	AD(7);AK(4);AA(6);AV(3);AF(8);BC(4);AP(4);AG(2);AB(5);AW(7);AE(1);BF(8);AQ(1);AM(2);AH(7);AY(2);AX(6);AC(1);AR(1);AZ(2);BE(1);AJ(2);BB(1);AS(1);AN(2);BG(2);	Day12,6:25	Day12,7:6
i304	12	Day12,3:30	R1	20	40	AB(6);AI(1);BC(1);AH(4);AP(2);AR(1);AS(2);AC(4);AJ(4);BE(1);AT(1);AV(3);AX(1);AD(3);AY(1);AO(1);AF(1);BD(1);AA(1);AW(1);	Day12,7:16	Day12,7:35
i306	12	Day12,6:4	R4	25	60	AF(2);AD(1);AX(1);AV(3);AQ(1);AU(1);AM(3);AE(3);BG(1);AW(6);AY(4);AR(3);AS(1);AK(5);AB(2);AP(5);BA(1);AN(3);AC(1);AH(7);BE(2);BB(1);AA(1);AJ(1);BC(1);	Day12,7:45	Day12,8:12
i309	12	Day12,7:24	R3	29	100	AH(13);BB(2);AK(6);AS(3);AN(2);BA(1);AJ(3);AF(3);AP(6);AU(2);AE(2);AB(2);AV(5);BC(6);AY(5);AD(4);AA(3);AW(9);AX(4);AQ(1);BF(5);AL(2);AZ(3);BD(1);BG(1);AI(2);AC(2);AM(1);AR(1);	Day12,8:22	Day12,9:7
i307	12	Day12,6:30	R5	25	60	AV(4);AN(2);AH(12);AA(4);BF(5);AD(1);AX(2);AO(2);AF(1);AI(1);BG(3);BE(1);BB(2);AK(1);AY(3);AR(3);AW(4);AP(1);AB(2);AM(1);AC(1);AJ(1);BA(1);AZ(1);AS(1);	Day12,9:17	Day12,9:45
i308	12	Day12,7:24	R1	21	40	AN(3);AT(1);BB(2);AW(4);BG(2);AM(1);BF(3);AB(2);BA(3);AD(4);AY(2);AJ(2);AF(2);AP(1);AR(1);AX(1);AO(1);AV(1);AK(1);AH(2);AQ(1);	Day12,9:55	Day12,10:13
i303	12	Day12,3:4	R2	21	40	AY(4);AH(5);AI(3);AJ(1);BF(1);BD(2);BG(2);AE(1);AR(2);AW(3);AB(1);AV(3);AU(1);BE(2);AP(2);AN(1);AC(1);AL(1);AA(1);AK(2);AQ(1);	Day12,10:23	Day12,10:41
i310	12	Day12,11:15	R6	28	100	BF(4);AF(6);AH(8);AC(4);AW(9);AV(4);AQ(5);AP(11);AG(2);AD(3);BE(2);AK(4);BB(2);AN(5);BG(4);AY(1);AB(3);AL(1);AA(3);AR(4);AX(4);AU(2);AM(2);AT(1);AJ(1);AE(3);BC(1);AS(1);	Day12,12:0	Day12,12:45
i312	12	Day12,12:6	R1	30	140	AZ(5);AV(3);BC(4);AH(10);AM(3);AA(4);BB(5);AY(8);AP(11);AF(5);AN(5);BF(3);AW(8);AR(4);AE(8);AQ(2);AB(4);BG(5);AJ(5);AK(10);AI(3);AD(5);AX(5);AG(3);AC(3);AT(1);AS(3);BD(2);BE(2);AU(1);	Day12,12:55	Day12,13:59
i311	12	Day12,12:5	R2	30	90	AX(5);AS(2);AV(12);AN(3);AR(7);AF(6);AL(1);AA(3);AJ(6);AC(2);AQ(2);AK(3);BG(3);AW(6);AO(1);AB(1);BF(2);AY(4);AH(7);BB(3);AM(2);BA(1);BC(1);AD(1);BE(1);AU(1);AG(1);AP(1);AE(1);AI(1);	Day12,14:9	Day12,14:50
i314	12	Day12,14:1	R1	29	70	AE(1);BB(1);AH(6);AX(3);AF(7);AG(2);AJ(2);AR(2);BE(2);AK(5);AC(1);BG(2);AD(3);AV(3);BC(2);AP(3);AB(2);AW(4);AA(3);AT(1);AM(1);BD(3);AY(2);BA(1);AZ(1);AS(1);AN(3);AI(2);AQ(1);	Day12,15:0	Day12,15:31
i313	12	Day12,13:52	R3	24	50	AE(1);AQ(2);BE(1);AN(4);AT(3);BF(1);AJ(4);AW(3);AU(2);AA(3);AK(1);AF(2);AP(1);AZ(1);AY(2);AB(2);AX(2);BC(1);AD(2);AH(4);BG(3);AV(3);AM(1);AI(1);	Day12,15:41	Day12,16:4
i315	12	Day12,14:47	R2	22	40	AJ(3);AX(1);AV(4);AP(2);AQ(1);AN(2);AD(2);AK(4);BC(2);AW(4);AB(1);AF(2);BF(1);BB(1);AE(1);AI(1);AH(3);AU(1);AA(1);AR(1);AC(1);BG(1);	Day12,16:14	Day12,16:32
i316	12	Day12,15:37	R4	30	100	AW(15);AQ(2);AK(2);AH(8);AV(6);AD(6);AC(2);AY(3);BF(3);BB(2);AB(2);AL(2);AM(3);AX(5);AS(3);AE(3);AJ(1);AO(1);BG(3);AR(4);BE(2);AN(4);BA(1);AT(5);BC(5);AF(1);AP(2);AA(2);BD(1);AI(1);	Day12,16:42	Day12,17:28
i317	12	Day12,17:25	R1	25	60	AX(4);AC(3);BA(2);AA(1);AT(1);AP(2);AR(4);AH(6);AY(7);BG(2);AW(5);AQ(1);AL(1);AJ(4);BE(1);AV(1);BB(2);AS(1);AF(3);AU(3);BD(1);AE(2);AG(1);AZ(1);AO(1);	Day12,18:10	Day12,18:37
i319	12	Day12,19:51	R1	26	70	AU(3);BB(5);BE(5);BF(3);AP(6);AR(5);AH(5);AW(1);AX(1);AF(2);AV(4);BD(3);AY(2);AO(1);AJ(4);AN(4);AM(2);AE(3);AK(2);AT(1);AQ(3);AI(1);AA(1);AD(1);AS(1);BG(1);	Day12,20:36	Day12,21:8
i318	12	Day12,18:28	R2	19	30	AY(2);BC(1);AA(3);AS(2);AK(1);AP(4);AG(2);BF(2);BE(1);AX(2);AE(1);AR(1);AC(1);BD(1);AN(1);BG(1);AH(2);AQ(1);AD(1);	Day12,21:18	Day12,21:32
i320	12	Day12,21:44	R1	22	50	AS(3);AW(2);AJ(1);BB(3);BG(5);AE(2);AH(6);BC(1);AY(2);AF(3);AG(1);AR(3);BF(1);AP(2);AU(2);AD(1);AC(2);AT(1);AV(3);AM(2);AA(1);AX(3);	Day12,22:29	Day12,22:51
i321	12	Day12,23:43	R1	27	80	AW(4);AC(3);AT(4);AR(6);AX(3);BF(5);AK(5);AN(4);AP(5);AV(5);BC(3);BA(1);BE(2);AD(1);AZ(1);AJ(3);BB(3);AH(6);AF(2);AY(4);AS(2);AA(1);BG(2);AL(1);AO(2);AB(1);AM(1);	Day13,0:28	Day13,1:4
i322	13	Day13,0:13	R2	29	90	AK(5);AM(5);BB(1);AP(6);AB(4);AW(8);BG(9);BD(3);AX(2);AV(8);AD(4);AJ(3);AH(7);AO(1);BE(2);AA(2);BF(3);AT(1);AU(2);AY(1);AR(2);AL(1);AE(3);AN(1);BA(1);AF(2);AZ(1);AG(1);AC(1);	Day13,1:14	Day13,1:55
i323	13	Day13,1:43	R1	23	70	AC(6);AX(8);AZ(2);AJ(4);AH(7);BF(2);AK(5);AA(2);AF(3);AV(3);BG(4);AS(3);BC(3);AP(1);AY(2);AR(3);AE(1);AO(1);AD(3);AW(2);AN(3);AB(1);BE(1);	Day13,2:28	Day13,2:59
i325	13	Day13,2:23	R3	27	80	AY(5);AH(7);AL(1);AA(4);AK(4);AQ(3);BG(5);BB(3);AT(2);BF(1);AF(3);AZ(1);AP(3);AM(1);AI(3);AD(2);AX(5);BC(2);AV(3);AU(2);AN(2);AS(2);AW(5);AC(3);AR(4);AJ(2);AG(2);	Day13,3:9	Day13,3:46
i326	13	Day13,2:59	R1	30	120	AS(2);AH(12);AK(7);AN(8);AE(2);AA(4);AY(4);AP(4);AF(7);BF(3);AO(1);AU(3);BG(5);BE(5);AW(9);AI(2);AR(5);AV(3);AX(8);AB(5);AQ(2);BD(2);AJ(2);AC(4);AM(1);BA(1);AZ(1);BB(2);AD(4);AL(2);	Day13,3:56	Day13,4:50
i324	13	Day13,2:3	R2	27	70	AY(5);BG(8);AB(2);AH(2);AW(5);BE(3);AF(4);AZ(1);AV(4);AJ(5);AU(1);AP(2);AD(6);BC(2);AC(1);AX(2);AR(1);AN(1);AK(3);AQ(2);BB(1);BA(2);BF(2);AA(2);AT(1);BD(1);AI(1);	Day13,5:0	Day13,5:32
i327	13	Day13,4:36	R4	20	40	AP(3);BB(1);AF(2);AD(3);AA(1);AS(2);AC(5);AV(1);AH(4);AB(2);BF(3);AY(2);AK(2);AN(1);BC(1);AR(2);AJ(1);AW(2);AQ(1);AG(1);	Day13,5:42	Day13,6:0
i328	13	Day13,5:8	R1	26	80	AJ(4);BE(3);AX(5);AF(4);AC(3);AH(8);BD(1);BB(2);AV(7);AR(4);AK(4);AS(3);AP(5);BC(1);AW(7);AZ(1);AN(4);AL(1);AD(1);AE(3);AI(1);AB(3);AY(1);AG(2);AT(1);BF(1);	Day13,6:10	Day13,6:47
i329	13	Day13,5:31	R2	26	70	AI(1);AX(2);AL(3);AF(4);AG(1);AV(5);AN(8);AY(2);AD(4);BG(2);AC(1);AU(3);AW(8);AM(3);AE(2);AZ(2);AH(1);AP(5);BE(2);AK(3);AB(1);AT(2);AR(1);AA(1);AQ(2);BC(1);	Day13,6:57	Day13,7:29
i330	13	Day13,5:33	R3	24	70	AY(2);AP(4);AA(3);AS(2);AB(3);BF(5);AE(2);AR(3);AH(10);AW(4);AJ(3);BB(2);AX(4);AF(3);AM(3);AT(1);AV(5);AD(3);BG(2);AK(1);AU(1);AN(1);AC(2);AL(1);	Day13,7:39	Day13,8:10
i331	13	Day13,8:26	R4	23	70	AW(9);AX(4);AV(4);AF(6);AT(3);AI(2);BB(1);AN(1);BG(4);AE(3);AK(5);BF(2);AY(3);AH(8);AP(2);AM(1);BE(1);AS(1);AC(3);AQ(2);AL(1);AR(3);AA(1);	Day13,9:11	Day13,9:43
i332	13	Day13,8:33	R1	29	70	AE(2);AY(4);BG(7);AV(3);AL(1);AC(3);AK(4);AH(5);AX(3);AN(3);AB(2);AJ(1);BB(2);AR(2);AF(3);AW(8);AO(1);AI(1);AU(1);BE(3);BF(2);AP(1);AM(2);AD(1);AS(1);AA(1);BC(1);AZ(1);BD(1);	Day13,9:53	Day13,10:25
i334	13	Day13,10:58	R1	27	100	BD(2);AR(4);AH(8);AW(9);AL(2);BF(1);AT(2);AB(2);AN(6);AS(3);AJ(5);AV(2);BG(5);AP(8);AK(7);AX(7);AU(1);BE(2);AE(4);AF(6);BB(4);BC(2);AC(2);AY(1);AD(3);AA(1);AM(1);	Day13,11:43	Day13,12:28
i335	13	Day13,11:51	R1	26	80	AW(7);BG(2);AK(3);BC(4);AY(6);AF(1);AJ(2);AH(5);BF(2);BB(4);AV(4);BA(1);AC(4);AA(2);AU(1);BD(1);AN(5);AR(6);AP(5);AZ(2);AD(4);AS(1);AE(2);AX(3);AI(1);AQ(2);	Day13,12:38	Day13,13:15
i333	13	Day13,10:20	R2	24	50	AH(6);AS(2);AE(2);AR(3);AY(3);AN(4);BG(3);AV(2);BE(1);AT(3);AK(3);AW(2);BD(1);BB(1);AX(1);AI(1);AF(2);AB(2);AM(2);BF(2);AL(1);AA(1);AC(1);AD(1);	Day13,13:25	Day13,13:48
i336	13	Day13,13:31	R3	30	110	AV(5);AK(3);AD(4);AP(8);BF(2);AG(4);AC(5);AF(5);AM(4);BC(1);AW(5);AX(2);AH(8);BE(8);AL(3);AB(5);AE(7);AN(3);BG(5);AR(4);AT(1);BB(4);AQ(1);AI(1);AZ(4);AY(2);BA(2);AJ(2);BD(1);AU(1);	Day13,14:16	Day13,15:6
i337	13	Day13,14:29	R1	25	70	AY(4);AS(1);BF(4);AP(7);AH(8);AW(3);AX(3);BE(2);AN(5);AV(4);AC(1);AU(2);AR(2);BG(1);AG(4);AK(4);BD(1);AI(1);AZ(1);AB(2);BC(2);AD(3);AE(2);AM(2);AA(1);	Day13,15:16	Day13,15:48
i338	13	Day13,15:1	R2	29	80	AX(4);AY(5);AW(4);AP(5);BF(4);BE(3);BA(2);AG(1);AK(5);AM(2);AJ(5);AV(3);BB(4);AF(2);BG(3);AD(3);BC(1);AQ(3);AB(3);AE(2);AH(4);AC(2);AR(3);AN(1);AU(1);AT(1);AA(1);AS(2);AI(1);	Day13,15:58	Day13,16:34
i339	13	Day13,15:25	R3	31	130	AV(11);AH(14);AF(5);AN(3);AD(8);AM(3);AR(6);AK(9);AU(3);AP(5);AW(8);AL(2);AJ(5);AG(2);BB(3);BG(2);AB(2);AY(6);BE(4);AA(3);BC(1);AE(4);AI(2);AX(5);AT(3);BF(3);AO(2);AZ(2);AQ(1);AC(2);BD(1);	Day13,16:44	Day13,17:43
